what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1401797741012
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1401797741013
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1401797741013
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1401797741014
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1401797741014
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1401797741014
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1401797741015
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1401797741015
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1401797741016
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1401797741017
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1401797741017
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1401797741017
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1401797741018
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1401797741018
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1401797741019
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1401797741019
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1401797741019
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1401797741020
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1401797741020
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1401797741020
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1401797741021
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1401797741021
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1401797741021
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1401797741021
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1401797741022
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1401797741022
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1401797741022
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1401797741022
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1401797741022
os,sysinfo,,,"win32",1401797741114
arch,sysinfo,,,"x86",1401797741114
ws,sysinfo,,,"win32",1401797741114
locale,sysinfo,,,"de_DE",1401797741114
processors,sysinfo,,,"4",1401797741114
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1401797741114
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1401797741114
java.specification.name,sysinfo,,,"Java Platform API Specification",1401797741114
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401797741114
java.specification.version,sysinfo,,,"1.6",1401797741114
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1401797741114
java.version,sysinfo,,,"1.6.0_23",1401797741114
java.vm.info,sysinfo,,,"mixed mode",1401797741114
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401797741114
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401797741114
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401797741114
java.vm.specification.version,sysinfo,,,"1.0",1401797741114
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1401797741114
java.vm.version,sysinfo,,,"19.0-b09",1401797741114
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1401797743996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797748309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797762504
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1401797764169
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1401797764187
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1401797764218
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1401797764251
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1401797786905
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1401797786936
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1401797786940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797788745
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1401797790112
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1401797790116
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1401797790117
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1401797790118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797791324
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1401797794492
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1401797809465
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1401797809473
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1401797809535
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1401797810019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797817485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1401797817501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797824134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797836861
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1401797843650
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1401797843664
